25027.2  89.25  0  1645  8165.25  939.5  2  0  22  35890.2
27182.8  201.25  0  5046  16155.2  2991.75  6.5  0.25  92.5  51676.2
28124  14059.2  0  13575.2  30873.5  11714.5  33.75  0.75  77.75  98458.8
32256.2  19852.8  2  36146.5  59772.2  25047.2  141  1  135.75  173355
37400.8  27260  3.75  214240  117487  56840.8  430.75  1.75  402.75  454068
38778.2  80917.5  5.75  532964  232068  157042  1459.25  3.25  2156  1.04539e+06
40003.8  415510  20  1.30204e+06  465034  445411  5513.25  4.75  12535.5  2.68608e+06
56494.5  4.22878e+06  50.5  3.98587e+06  944970  1.49967e+06  22446.8  6.25  71890.8  1.08102e+07
125347  8.07387e+07  117.25  1.29141e+07  1.90272e+06  6.31373e+06  87974  10.75  513085  1.02596e+08
300590  4.13677e+08  267.5  5.1232e+07  3.82177e+06  2.48228e+07  340164  24.25  3.91088e+06  4.98106e+08
